anime_id,producers
40052,TOHO animation
40052,Hakuhodo DY Media Partners
45577,Lantis
2150,TV Tokyo
2150,Starchild Records
6,Victor Entertainment
53393,Mainichi Broadcasting System
53393,Kodansha
53393,NBCUniversal Entertainment Japan
53393,Avex Pictures
53393,NetEase
3091,TBS
3091,BMG Japan
3091,Kids Station
3091,Kodansha
3091,Movic
23847,TBS
23847,Marvelous AQL
23847,NBCUniversal Entertainment Japan
25681,Dentsu
25681,Sotsu
16894,Bandai Visual
16894,Lantis
16894,Nihon Ad Systems
16894,Banpresto
16894,Shueisha
16894,BS11
18115,Aniplex
18115,Dentsu
18115,Shogakukan-Shueisha Productions
18115,Mainichi Broadcasting System
18115,Movic
18115,GYAO!
627,Shogakukan-Shueisha Productions
627,NHK
35838,AT-X
35838,Shinchosha
35838,Kadokawa Media House
35838,Kadokawa
9863,TV Tokyo
9863,Avex Entertainment
9863,Dentsu
49052,Shogakukan-Shueisha Productions
49052,Marvelous Entertainment
49052,NHK Enterprises
49052,Bandai Spirits
1142,Dentsu
1142,Genco
1142,Fuji TV
1142,Asmik Ace
1142,Sony Music Entertainment
1142,Shueisha
42897,Aniplex
42897,Square Enix
42897,Mainichi Broadcasting System
42897,Movic
42897,Kanetsu Investment
42897,My Theater D.D.
42897,Global Solutions
42897,Mirai-Kojo
6811,Yomiuri Telecasting
6811,Shogakukan
49114,Aniplex
49114,Square Enix
49114,Hakuhodo DY Music & Pictures
49114,Contents Seed
54714,Lantis
54714,Movic
54714,Bushiroad
54714,Tokyo MX
54714,Shueisha
54714,NetEase
54714,Bandai Namco Filmworks
54714,Bandai Namco Music Live
440,TV Tokyo
440,Yomiko Advertising
440,SoftX
440,Shogakukan
440,Audio Tanaka
50709,Aniplex
50709,BS11
50709,ABC Animation
1453,Kitty Films
1453,Fuji TV
558,Shogakukan-Shueisha Productions
558,NHK
3226,Shogakukan-Shueisha Productions
3226,NHK
40729,Kodansha
40729,Tohokushinsha Film Corporation
40729,Bandai Namco Arts
32843,Memory-Tech
32843,Bushiroad
32843,MAGES.
32843,King Records
32843,Kinyosha
37171,Hakusensha
37171,AT-X
37171,Sony Music Communications
37171,Kadokawa Media House
37171,Kadokawa
54959,Ultra Super Pictures
54959,Bushiroad
54959,Tokyo MX
54959,Good Smile Company
54959,Bushiroad Music
54959,HoriPro International
54959,Ace Crew Entertainment
32867,Lantis
32867,Movic
32867,KlockWorx
32867,Bandai Namco Live Creative
32867,Glovision
32867,Lawson HMV Entertainment
32867,Sony PCL
32867,Kadokawa
18195,Warner Bros. Japan
18195,Showgate
23623,TV Tokyo
23623,Lantis
7674,NHK
7674,Shueisha
34636,Dentsu
34636,Mainichi Broadcasting System
34636,Pony Canyon
34636,Kodansha
34636,Movic
34636,Bandai Namco Games
34636,Toys Factory
34636,Animatic
10800,VAP
10800,Nippon Television Network
22297,Aniplex
22297,Notes
1889,Geneon Universal Entertainment
1889,Frontier Works
1889,Sotsu
1889,Movic
962,Production I.G
962,TV Tokyo
962,Shochiku
962,Mag Garden
1519,Geneon Universal Entertainment
1519,Shogakukan-Shueisha Productions
235,Yomiuri Telecasting
235,TMS-Kyokuchi
235,Shogakukan
40852,TOHO animation
40852,Shueisha
40852,Toho Music
40852,8PAN
813,Fuji TV
813,Shueisha
7791,Pony Canyon
7791,TBS
7791,Movic
7791,Rakuonsha
7791,Animation Do
38481,Square Enix
38481,Movic
38481,AT-X
38481,Warner Bros. Japan
38481,NBCUniversal Entertainment Japan
38481,Kadokawa
40911,Mainichi Broadcasting System
40911,Shueisha
40911,Yomiuri TV Enterprise
40911,Bandai Namco Arts
40911,Bandai Spirits
232,NHK
232,Kodansha
232,Sogo Vision
48549,TOHO animation
48549,Shueisha
18,OB Planning
18,Studio Jack
186,OB Planning
186,Fuji TV
853,VAP
853,Hakusensha
853,Nippon Television Network
50380,Mainichi Broadcasting System
50380,Kodansha
50380,Avex Pictures
50380,DMM pictures
50380,Bit grooove promotion
30503,Dentsu
30503,Shochiku
30503,Kodansha
30503,Ai Addiction
30503,Avex Pictures
30503,A-Sketch
28171,Dentsu
28171,Frontier Works
28171,Mainichi Broadcasting System
28171,Magic Capsule
28171,Warner Bros. Japan
28171,KlockWorx
28171,Showgate
28171,Shueisha
28171,I Will
34572,TV Tokyo
34572,Avex Pictures
34572,Shueisha
53411,Aniplex
53411,Movic
53411,Nitroplus
53411,Tokyo MX
53411,Nagoya Broadcasting Network
53411,BS11
53411,Bit grooove promotion
28223,VAP
28223,DAX Production
28223,Nippon Television Network
37962,Bandai Visual
37962,Lantis
37962,Bandai Namco Games
46569,Twin Engine
3701,VAP
3701,WOWOW
11597,Aniplex
11597,Kodansha
11597,Rakuonsha
4477,Dentsu
4477,Genco
4477,SKY Perfect Well Think
4477,Kodansha
4477,Fuji TV
4477,Asmik Ace
4477,Sony Music Entertainment
721,Memory-Tech
721,GANSIS
721,Marvelous AQL
50416,Kodansha
50416,Kansai Telecasting
50416,Crunchyroll
50416,A-Sketch
50416,DMM pictures
50416,DMM Music
50416,NetEase
37430,Lantis
37430,Kodansha
37430,BS11
37430,Bandai Namco Arts
37430,Micro Magazine Publishing
51096,Studio Hibari
51096,Movic
51096,AT-X
51096,Sammy
51096,Crunchyroll
51096,Kadokawa Media House
51096,Kadokawa
51096,Bandai Namco Music Live
39792,Warner Bros. Japan
39792,Warner Music Japan
39792,Shogakukan
39792,NHK Enterprises
239,GDH
239,TV Asahi
239,Media Factory
239,Sotsu Music Publishing
50528,NBCUniversal Entertainment Japan
50528,Tokyo MX
50528,Good Smile Company
50528,Sammy
50528,Shueisha
50528,JR East Marketing & Communications
50528,Twin Engine
36296,AT-X
36296,Magic Capsule
36296,Nippon Columbia
36296,Kadokawa Media House
36296,NTT Plala
36296,Kadokawa
36296,Akatsuki
1604,TV Tokyo
1604,Dentsu
1604,Marvelous Entertainment
1604,Pony Canyon
1604,d-rights
35857,Nippon Television Network
35857,TMS Music
1827,Geneon Universal Entertainment
1827,Dentsu
1827,NHK Enterprises
39592,Sunrise Music
18689,TV Tokyo
18689,Sotsu
18689,Pony Canyon
18689,Kodansha
18689,AT-X
18689,DAX Production
6746,Aniplex
6746,Square Enix
6746,Mainichi Broadcasting System
6746,Movic
6746,ASCII Media Works
6746,Sakura Create
121,Aniplex
121,Dentsu
121,Square Enix
121,Mainichi Broadcasting System
2581,Sotsu
2581,Asatsu DK
2581,Mainichi Broadcasting System
2581,Sony Music Entertainment
30831,Half H.P Studio
30831,Nippon Columbia
30831,KlockWorx
30831,Sony Music Communications
30831,Toranoana
30831,81 Produce
30831,Kadokawa Media House
30831,Kadokawa
8129,Dentsu
8129,Genco
8129,Kodansha
8129,Fuji TV
8129,TOHO
8129,Asmik Ace
8129,Sony Music Entertainment
8129,Sakura Create
8129,Fujipacific Music
302,Unknown
52826,Lantis
52826,Pony Canyon
52826,Rakuonsha
