anime_id,genres
36593,Fantasy
1594,Horror
1594,Mystery
1594,Supernatural
35075,Comedy
35075,Fantasy
52976,Action
52976,Adventure
52976,Drama
52976,Fantasy
52976,Horror
51680,Slice of Life
55742,Drama
55742,Fantasy
55742,Romance
569,Comedy
569,Sci-Fi
54918,Action
54918,Drama
54918,Supernatural
22,Sports
6377,Comedy
35507,Drama
9513,Action
9513,Comedy
9513,Supernatural
37435,Drama
37435,Sci-Fi
48702,Drama
2828,Adventure
2828,Drama
2828,Slice of Life
249,Action
249,Adventure
249,Fantasy
249,Romance
42745,Comedy
42745,Fantasy
25517,Adventure
25517,Comedy
25517,Romance
322,Drama
322,Romance
2605,Comedy
9941,Action
9941,Comedy
9941,Mystery
37029,Comedy
37029,Fantasy
5680,Comedy
39534,Supernatural
31741,Action
31741,Adventure
31741,Fantasy
795,Drama
795,Girls Love
400,Action
400,Adventure
400,Comedy
400,Sci-Fi
11123,Boys Love
3588,Action
3588,Comedy
3588,Fantasy
52093,Action
52093,Adventure
52093,Sci-Fi
17909,Award Winning
17909,Comedy
17909,Drama
17909,Fantasy
53126,Romance
6586,Gourmet
849,Award Winning
849,Comedy
849,Mystery
849,Sci-Fi
32093,Slice of Life
52305,Comedy
52305,Romance
890,Action
890,Adventure
890,Sci-Fi
32998,Action
32998,Drama
39195,Drama
388,Sports
23289,Comedy
23289,Romance
267,Action
267,Drama
267,Sci-Fi
3604,Slice of Life
40046,Mystery
40046,Sci-Fi
40046,Suspense
4087,Action
4087,Adventure
39575,Adventure
39575,Drama
39575,Fantasy
12445,Horror
12445,Mystery
12445,Romance
12445,Supernatural
6582,Comedy
10521,Comedy
12403,Comedy
12403,Girls Love
31478,Action
31478,Mystery
31478,Supernatural
2035,Drama
2035,Romance
49220,Comedy
49220,Fantasy
1485,Comedy
1485,Drama
46352,Drama
2471,Adventure
2471,Comedy
2471,Fantasy
2471,Sci-Fi
40956,Action
40956,Fantasy
40956,Sci-Fi
28669,Action
28669,Comedy
28669,Fantasy
2762,Action
2762,Adventure
2762,Comedy
2762,Romance
253,Comedy
253,Slice of Life
33489,Adventure
33489,Comedy
33489,Fantasy
34745,Adventure
34745,Comedy
34745,Fantasy
49784,Comedy
49784,Fantasy
50739,Romance
1172,Action
1172,Adventure
