anime_id,theme
37972,School
41488,Isekai
41488,Reincarnation
35672,CGDCT
35672,Iyashikei
39597,Video Game
15731,CGDCT
15731,Iyashikei
50307,
969,
24405,
35789,Racing
9441,
96,Martial Arts
96,Mecha
96,Space
51815,School
34973,Idols (Female)
34973,Music
34973,School
34577,
33253,Gore
42238,School
2213,Medical
35972,
31931,Mecha
31931,Military
4725,Gore
4725,Super Power
132,Super Power
2800,Historical
2229,Martial Arts
6702,
37958,Mythology
51462,Isekai
1567,
36470,School
36470,Visual Arts
29854,Mythology
10495,CGDCT
10495,Gag Humor
10495,School
23321,Adult Cast
23321,Video Game
18897,Harem
18897,School
584,
40351,
39355,
40392,School
40392,Showbiz
40392,Visual Arts
5507,Military
52211,Gag Humor
52211,Parody
52211,School
31953,Adult Cast
31953,CGDCT
31953,Otaku Culture
31953,Workplace
10161,
53874,
17249,Idols (Female)
17249,Music
7647,
48779,Childcare
48779,Workplace
23251,Gag Humor
9065,Historical
9065,Samurai
1356,Gore
1356,Martial Arts
1356,Super Power
2037,School
2012,School
27991,Super Power
38578,Mahou Shoujo
34902,School
36474,Video Game
1985,Mecha
21435,CGDCT
21435,Iyashikei
1372,Adult Cast
1372,Detective
1372,Workplace
2558,Historical
2558,School
28677,Harem
28677,School
40221,
40571,
5162,CGDCT
5162,School
3001,Anthropomorphic
3001,School
3673,
2549,Historical
34561,Isekai
34561,Mecha
32542,Gag Humor
32542,School
8675,Gag Humor
8675,School
2787,Mahou Shoujo
2787,School
34547,Historical
34547,Military
1557,Historical
1557,Mythology
880,Harem
18671,School
129,Mythology
37141,Anthropomorphic
37141,Educational
37141,Medical
37007,Combat Sports
37007,School
17,Team Sports
67,Adult Cast
67,Gore
67,Historical
67,Martial Arts
67,Samurai
53881,
33988,Mythology
33988,School
33988,Vampire
28121,
7661,Team Sports
38790,Video Game
49891,Isekai
49891,Reincarnation
18139,School
16241,Gag Humor
16241,Mythology
32681,Space
4651,
36754,Adult Cast
36754,Isekai
36754,Mythology
250,Mythology
42590,Music
42590,School
340,Historical
340,Martial Arts
340,Samurai
36038,Adult Cast
36038,Video Game
51105,
24135,Historical
24135,Time Travel
11371,School
50221,Idols (Female)
50221,Music
6802,Iyashikei
6802,Military
6802,Music
33089,Anthropomorphic
33089,Iyashikei
1087,School
1087,Super Power
22817,
7627,Gag Humor
7627,School
2112,Racing
708,
209,Super Power
3369,Historical
3369,Strategy Game
32828,Childcare
32828,Iyashikei
2214,Medical
455,
41120,Adult Cast
41120,Detective
