anime_id,url,title,title_english,source,episodes,status,aired start,aired finish,duration(minutes per episode),rating,score,scored by (#users),rank,popularity(rank),season,calculated year,year,broadcast day,producers,studios,genres,theme,demographic,members
34096,https://myanimelist.net/anime/34096/Gintama,Gintama.,Gintama Season 5,Manga,12,Finished Airing,1/9/2017,3/27/2017,24,PG-13 - Teens 13 or older,8.98,141304,14,752,winter,2017,2017,Mondays,"TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,304332
918,https://myanimelist.net/anime/918/Gintama,Gintama,Gintama,Manga,201,Finished Airing,4/4/2006,3/25/2010,24,PG-13 - Teens 13 or older,8.94,387253,15,139,spring,2006,2006,Thursdays,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",Sunrise,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,1039570
52991,https://myanimelist.net/anime/52991/Sousou_no_Frieren,Sousou no Frieren,Frieren: Beyond Journey's End,Manga,,Currently Airing,9/29/2023,,25,PG-13 - Teens 13 or older,8.94,29292,17,1278,fall,2023,2023,Fridays,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",Madhouse,"Adventure, Drama, Fantasy",NA,Shounen,178772
35180,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,3-gatsu no Lion 2nd Season,March Comes In Like a Lion 2nd Season,Manga,22,Finished Airing,10/14/2017,3/31/2018,25,PG-13 - Teens 13 or older,8.93,194165,18,559,fall,2017,2017,Saturdays,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toys Factory",Shaft,Drama,"Childcare, Iyashikei, Strategy Game",Seinen,390577
4181,https://myanimelist.net/anime/4181/Clannad__After_Story,Clannad: After Story,Clannad: After Story,Visual novel,24,Finished Airing,10/3/2008,3/27/2009,24,PG-13 - Teens 13 or older,8.93,647036,19,117,fall,2008,2008,Fridays,"Pony Canyon, TBS, Rakuonsha, Animation Do",Kyoto Animation,"Drama, Romance, Supernatural",NA,NA,1165515
2904,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,Original,25,Finished Airing,4/6/2008,9/28/2008,24,R - 17+ (violence & profanity),8.91,1163318,20,47,spring,2008,2008,Sundays,"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,"Action, Award Winning, Drama, Sci-Fi","Mecha, Military, Super Power",NA,1729722
37491,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama.: Silver Soul Arc - Second Half War,Manga,14,Finished Airing,7/9/2018,10/8/2018,24,PG-13 - Teens 13 or older,8.88,91934,23,1191,summer,2018,2018,Mondays,"TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,190844
35247,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,Owarimonogatari 2nd Season,Owarimonogatari Second Season,Light novel,7,Finished Airing,8/12/2017,8/13/2017,22,R - 17+ (violence & profanity),8.88,186399,24,567,summer,2017,2017,Unknown,"Aniplex, Kodansha",Shaft,"Comedy, Mystery, Supernatural",Vampire,NA,387164
19,https://myanimelist.net/anime/19/Monster,Monster,Monster,Manga,74,Finished Airing,4/7/2004,9/28/2005,24,R+ - Mild Nudity,8.87,387462,25,137,spring,2004,2004,Wednesdays,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,"Drama, Mystery, Suspense","Adult Cast, Psychological",Seinen,1053271
51009,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Manga,23,Currently Airing,7/6/2023,,23,R - 17+ (violence & profanity),8.83,115843,28,332,summer,2023,2023,Thursdays,"Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",MAPPA,"Action, Fantasy",School,Shounen,616059
